事项,金额,时间,地点
总交易金额与次数,3328.02,2024年513次,无
单次交易金额最大值,44.3,2024年9月16日17时33分35秒,观畴园_点菜组
单次交易金额最小值,0.4,2024年12月10日9时32分26秒,紫荆园_东南亚风味
交易金额均值,6.49,2024年,无
交易金额分月最大值,760.41,2024年9月,无
交易金额分月最小值,0.0,2024年1月,无
交易金额分地点最大值,753.2,2024年,紫荆园
交易金额分地点最小值,17.1,2024年,荷园
交易金额分时间最大值,872.43,2024年12时,无
交易金额分时间最小值,11.7,2024年6时,无
分月与天交易金额最大值,116.92,2024年8月25日,无
分月与天交易金额最小值,4.0,2024年11月28日,无
最常去的食堂,753.2,2024年共176次,紫荆园
去过的食堂,,2024年共13个,"['桃李园', '紫荆园', '玉树园', '双清园', '澜园', '观畴园', '听涛园', '清芬园', '清青快餐', '丁香园', '芝兰园', '寓园', '荷园']"
最常去的窗口,237.5,2024年共47次,紫荆园_套餐系列
去过的窗口,,2024年共72个,"['桃李园_冷饮组', '桃李园_煎饼组', '桃李园_米粉米线组', '紫荆园_西饼糕点', '玉树园_风味组', '双清园_川渝风味', '紫荆园_套餐系列', '紫荆园_麻辣香锅', '澜园_二层基本伙', '紫荆园_三层大伙', '观畴园_点菜组', '听涛园_冷饮组', '听涛园_陕西风味', '澜园_冷饮组', '澜园_套餐', '观畴园_自选3组', '桃李园_福州组', '清芬园_一层冷饮', '清芬园_西北面食', '清青快餐_西餐组', '听涛园_大菜组', '桃李园_糕点组', '紫荆园_东南亚风味', '丁香园_冷饮组', '丁香园_大菜1组', '桃李园_韩式风味', '紫荆园_冷荤冷饮', '听涛园_联营1', '丁香园_10号风味小吃', '紫荆园_包子饺子', '紫荆园_二层大伙', '清芬园_二层冷饮', '清芬园_二层大伙', '丁香园_4号烤肉拌饭', '桃李园_二层大伙', '双清园_西北风味', '双清园_广式风味', '观畴园_自选5组', '芝兰园_风味3组', '双清园_二层基本伙', '听涛园_冷荤组', '丁香园_主食酱货', '紫荆园_广式风味', '澜园_热荤组', '桃李园_烤烙组', '听涛园_主食组', '清芬园_川渝小吃', '观畴园_清真餐厅', '紫荆园_淮扬风味', '清芬园_麻辣香锅', '桃李园_日式拉面', '丁香园_2号河南风味', '丁香园_5号广东风味', '丁香园_大菜2组', '紫荆园_拉面组', '听涛园_麻辣香锅', '寓园_面包组', '紫荆园_港记烧腊', '桃李园_雷椒拌饭', '观畴园_自选4组', '清芬园_东南风味', '寓园_特色风味组', '寓园_陕西风味组', '紫荆园_四层大伙', '荷园_大菜组', '清芬园_二层低档菜', '桃李园_果茶', '清芬园_一层主食', '丁香园_香锅', '芝兰园_二层餐厅', '听涛园_清青牛拉', '荷园_自选组']"
累计消费最多的食堂,753.2,2024年,紫荆园
累计消费最多的窗口,361.2,2024年,观畴园_点菜组
吃早餐最早时间,4.7,2024年9月20日6时35分47秒,桃李园_烤烙组
吃早餐最晚时间,1.0,2024年12月11日9时46分11秒,紫荆园_东南亚风味
吃早餐总次数,522.4,2024年共87次,无
吃早餐最常去的食堂,478.2,2024年共79次,紫荆园
吃早餐最常去的窗口,223.5,2024年共45次,紫荆园_套餐系列
吃午饭最早时间,15.7,2024年9月15日11时10分50秒,双清园_广式风味
吃午饭最晚时间,20.0,2024年9月3日13时33分26秒,清青快餐_西餐组
吃午饭总次数,1258.5,2024年共87次,无
吃午饭最常去的食堂,281.87,2024年共17次,观畴园
吃午饭最常去的窗口,96.75,2024年共24次,紫荆园_三层大伙
吃晚饭最早时间,20.0,2024年12月13日16时59分24秒,听涛园_大菜组
吃晚饭最晚时间,16.0,2024年11月11日19时55分12秒,桃李园_米粉米线组
吃晚饭总次数,1306.51,2024年共84次,无
吃晚饭最常去的食堂,204.2,2024年共17次,听涛园
吃晚饭最常去的窗口,28.3,2024年共15次,听涛园_冷饮组
吃宵夜最早时间,6.0,2024年9月23日20时0分26秒,桃李园_米粉米线组
吃宵夜最晚时间,1.8,2024年9月6日22时38分40秒,桃李园_冷饮组
吃宵夜总次数,216.61,2024年共15次,无
吃宵夜最常去的食堂,216.61,2024年共15次,桃李园
吃宵夜最常去的窗口,19.2,2024年共11次,桃李园_冷饮组
洗澡最早时间,0.0,无,无
洗澡最晚时间,0.0,无,无
洗澡总次数,0.0,无,无
最常洗澡时间,0.0,无,无
饮水最早时间,0.0,无,无
饮水最晚时间,0.0,无,无
饮水总次数,0.0,无,无
最常饮水时间,0.0,无,无
游泳最早时间,0.0,无,无
游泳最晚时间,0.0,无,无
游泳总次数,0.0,无,无
最常游泳时间,0.0,无,无
学生卡成本总次数,0.0,无,无
自助打印成绩单总次数,0.0,无,无
